"site_short","netNr","julian_day","nSpec"
"BB-A2-23","6",27,1
"BB-A2-23","6",28,1
"BB-A2-23","7",22,0
"BB-A2-23","7",23,0
"BB-A2-23","7",24,1
"BB-A2-23","7",25,1
"BB-A2-23","7",26,1
"BB-A2-23","7",27,0
"BB-A2-23","7",28,2
"BB-A2-23","8",22,0
"BB-A2-23","8",23,0
"BB-A2-23","8",24,0
"BB-A2-23","8",25,1
"BB-A2-23","8",26,0
"BB-A2-23","8",27,0
"BB-A2-23","8",28,0
"BB-A2-23","9",22,0
"BB-A2-23","9",23,1
"BB-A2-23","9",24,0
"BB-A2-23","9",25,1
"BB-A2-23","9",26,0
"BB-A2-23","9",27,1
"BB-A2-23","9",28,1
"BB-B1-23","1",22,2
"BB-B1-23","1",24,1
"BB-B1-23","1",25,1
"BB-B1-23","1",26,2
"BB-B1-23","1",28,2
"BB-B1-23","1",29,4
"BB-B1-23","1",30,1
"BB-B1-23","10",22,2
"BB-B1-23","10",24,2
"BB-B1-23","10",25,3
"BB-B1-23","10",26,3
"BB-B1-23","10",28,3
"BB-B1-23","10",29,2
"BB-B1-23","10",30,2
"BB-B1-23","2",22,1
"BB-B1-23","2",24,1
"BB-B1-23","2",25,0
"BB-B1-23","2",26,3
"BB-B1-23","2",28,3
"BB-B1-23","2",29,3
"BB-B1-23","2",30,2
"BB-B1-23","3",22,1
"BB-B1-23","3",24,0
"BB-B1-23","3",25,1
"BB-B1-23","3",26,1
"BB-B1-23","3",28,2
"BB-B1-23","3",29,3
"BB-B1-23","3",30,4
"BB-B1-23","4",22,2
"BB-B1-23","4",24,1
"BB-B1-23","4",25,2
"BB-B1-23","4",26,5
"BB-B1-23","4",28,1
"BB-B1-23","4",29,3
"BB-B1-23","4",30,0
"BB-B1-23","5",22,2
"BB-B1-23","5",24,1
"BB-B1-23","5",25,0
"BB-B1-23","5",26,4
"BB-B1-23","5",28,2
"BB-B1-23","5",29,2
"BB-B1-23","5",30,0
"BB-B1-23","6",22,2
"BB-B1-23","6",24,0
"BB-B1-23","6",25,2
"BB-B1-23","6",26,3
"BB-B1-23","6",28,1
"BB-B1-23","6",29,3
"BB-B1-23","6",30,1
"BB-B1-23","7",22,0
"BB-B1-23","7",24,1
"BB-B1-23","7",25,0
"BB-B1-23","7",26,3
"BB-B1-23","7",28,3
"BB-B1-23","7",29,3
"BB-B1-23","7",30,1
"BB-B1-23","8",22,2
"BB-B1-23","8",24,2
"BB-B1-23","8",25,1
"BB-B1-23","8",26,2
"BB-B1-23","8",28,0
"BB-B1-23","8",29,2
"BB-B1-23","8",30,1
"BB-B1-23","9",22,1
"BB-B1-23","9",24,2
"BB-B1-23","9",25,1
"BB-B1-23","9",26,3
"BB-B1-23","9",28,2
"BB-B1-23","9",29,1
"BB-B1-23","9",30,1
"BB-C1-23","1",23,2
"BB-C1-23","1",24,0
"BB-C1-23","1",25,5
"BB-C1-23","1",26,0
"BB-C1-23","1",27,3
"BB-C1-23","1",28,1
"BB-C1-23","1",29,7
"BB-C1-23","10",23,2
"BB-C1-23","10",24,1
"BB-C1-23","10",25,5
"BB-C1-23","10",26,2
"BB-C1-23","10",27,5
"BB-C1-23","10",28,2
"BB-C1-23","10",29,6
"BB-C1-23","2",23,1
"BB-C1-23","2",24,7
"BB-C1-23","2",25,4
"BB-C1-23","2",26,0
"BB-C1-23","2",27,5
"BB-C1-23","2",28,1
