"site_short","site_sum","netNr","decade","effort","year","distance_m","maize_1000m","woodS_1000m","grassS_1000m","settlement_1000m","maize_750m","woodS_750m","grassS_750m","settlement_750m","maize_500m","woodS_500m","grassS_500m","settlement_500m","maize_250m","woodS_250m","grassS_250m","settlement_250m","maize_100m","woodS_100m","grassS_100m","settlement_100m","prop_weed","Hoehe_cm","lon","lat","julian_day"
"BB-A1-23","BB-AA","5",24,199.583333333333,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,55,215,14.3606476,52.5071109,24
"BB-A1-23","BB-AA","5",25,299.166666666667,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,60,210,14.3606476,52.5071109,25
"BB-A1-23","BB-AA","5",26,299.166666666667,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,40,205,14.3606476,52.5071109,26
"BB-A1-23","BB-AA","5",27,200,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,65,210,14.3606476,52.5071109,27
"BB-A1-23","BB-AA","5",28,174.166666666667,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,60,215,14.3606476,52.5071109,28
"BB-A1-23","BB-AA","6",22,150,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,75,170,14.3599075,52.5073697,22
"BB-A1-23","BB-AA","6",23,200,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,70,175,14.3599075,52.5073697,23
"BB-A1-23","BB-AA","6",24,199.583333333333,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,65,180,14.3599075,52.5073697,24
"BB-A1-23","BB-AA","6",25,299.166666666667,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,50,180,14.3599075,52.5073697,25
"BB-A1-23","BB-AA","6",26,299.166666666667,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,60,190,14.3599075,52.5073697,26
"BB-A1-23","BB-AA","6",27,200,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,40,185,14.3599075,52.5073697,27
"BB-A1-23","BB-AA","6",28,174.166666666667,2023,49.9,33.16,4.61,6.92,0,30.33,2.24,11.69,0,38.02,2.29,6.29,0,47.31,3.73,0.03,0,78.3,4.99,0,0,45,185,14.3599075,52.5073697,28
"BB-A1-23","BB-AA","7",22,150,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,80,175,14.3597768,52.5073336,22
"BB-A1-23","BB-AA","7",23,200,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,75,172.5,14.3597768,52.5073336,23
"BB-A1-23","BB-AA","7",24,199.583333333333,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,70,170,14.3597768,52.5073336,24
"BB-A1-23","BB-AA","7",25,299.166666666667,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,45,180,14.3597768,52.5073336,25
"BB-A1-23","BB-AA","7",26,299.166666666667,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,70,180,14.3597768,52.5073336,26
"BB-A1-23","BB-AA","7",27,200,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,50,170,14.3597768,52.5073336,27
"BB-A1-23","BB-AA","7",28,174.166666666667,2023,46.3,33.43,4.56,6.91,0,30.84,2.31,11.69,0,38.89,2.3,6.34,0,48.67,3.83,0,0,77.47,4.44,0,0,55,175,14.3597768,52.5073336,28
"BB-A1-23","BB-AA","8",22,150,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,75,190,14.35967466,52.50728741,22
"BB-A1-23","BB-AA","8",23,200,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,72.5,190,14.35967466,52.50728741,23
"BB-A1-23","BB-AA","8",24,199.583333333333,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,70,190,14.35967466,52.50728741,24
"BB-A1-23","BB-AA","8",25,299.166666666667,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,50,175,14.35967466,52.50728741,25
"BB-A1-23","BB-AA","8",26,299.166666666667,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,65,190,14.35967466,52.50728741,26
"BB-A1-23","BB-AA","8",27,200,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,50,190,14.35967466,52.50728741,27
"BB-A1-23","BB-AA","8",28,174.166666666667,2023,41.5,33.65,4.54,6.91,0,31.28,2.38,11.66,0,39.62,2.31,6.26,0,49.5,3.93,0,0,74.67,4.57,0,0,50,195,14.35967466,52.50728741,28
"BB-A1-23","BB-AA","9",22,150,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,70,245,14.35955052,52.50724187,22
"BB-A1-23","BB-AA","9",23,200,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,60,237.5,14.35955052,52.50724187,23
"BB-A1-23","BB-AA","9",24,199.583333333333,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,50,230,14.35955052,52.50724187,24
"BB-A1-23","BB-AA","9",25,299.166666666667,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,40,235,14.35955052,52.50724187,25
"BB-A1-23","BB-AA","9",26,299.166666666667,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,60,245,14.35955052,52.50724187,26
"BB-A1-23","BB-AA","9",27,200,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,40,245,14.35955052,52.50724187,27
"BB-A1-23","BB-AA","9",28,174.166666666667,2023,36.8,33.9,4.51,6.9,0,31.8,2.44,11.63,0,40.5,2.32,6.23,0,50.65,4.03,0,0,71.88,4.68,0,0,45,240,14.35955052,52.50724187,28
"BB-A2-23","BB-AA","1",22,150,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,90,235,14.3587415,52.50868,22
"BB-A2-23","BB-AA","1",23,200,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,90,242.5,14.3587415,52.50868,23
"BB-A2-23","BB-AA","1",24,199.583333333333,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,90,250,14.3587415,52.50868,24
"BB-A2-23","BB-AA","1",25,299.583333333333,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,70,240,14.3587415,52.50868,25
"BB-A2-23","BB-AA","1",26,299.166666666667,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,50,245,14.3587415,52.50868,26
"BB-A2-23","BB-AA","1",27,200,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,75,240,14.3587415,52.50868,27
"BB-A2-23","BB-AA","1",28,174.166666666667,2023,156.7,34.55,2.72,6.9,0,34.79,1.44,11.95,0,39.07,2.12,19.2,0,77.87,2.39,3.6,0,100,0,0,0,70,235,14.3587415,52.50868,28
"BB-A2-23","BB-AA","10",22,150,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,90,240,14.35744349,52.50836699,22
"BB-A2-23","BB-AA","10",23,200,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,80,250,14.35744349,52.50836699,23
"BB-A2-23","BB-AA","10",24,199.583333333333,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,70,260,14.35744349,52.50836699,24
"BB-A2-23","BB-AA","10",25,299.583333333333,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,75,235,14.35744349,52.50836699,25
"BB-A2-23","BB-AA","10",26,299.166666666667,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,75,225,14.35744349,52.50836699,26
"BB-A2-23","BB-AA","10",27,200,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,85,230,14.35744349,52.50836699,27
"BB-A2-23","BB-AA","10",28,174.166666666667,2023,154.7,36.42,2.77,6.87,0,38.57,1.47,11.66,0,46.33,2.28,19.08,0,89.59,3.01,3.07,0,100,0,0,0,75,235,14.35744349,52.50836699,28
"BB-A2-23","BB-AA","2",22,150,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,90,215,14.35861349,52.50862782,22
"BB-A2-23","BB-AA","2",23,200,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,90,222.5,14.35861349,52.50862782,23
"BB-A2-23","BB-AA","2",24,199.583333333333,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,90,230,14.35861349,52.50862782,24
"BB-A2-23","BB-AA","2",25,299.583333333333,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,80,230,14.35861349,52.50862782,25
"BB-A2-23","BB-AA","2",26,299.166666666667,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,60,225,14.35861349,52.50862782,26
"BB-A2-23","BB-AA","2",27,200,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,85,225,14.35861349,52.50862782,27
"BB-A2-23","BB-AA","2",28,174.166666666667,2023,165.9,34.78,2.72,6.9,0,35.16,1.45,11.91,0,40.03,2.14,19.12,0,79.4,2.57,3.25,0,100,0,0,0,80,230,14.35861349,52.50862782,28
"BB-A2-23","BB-AA","3",22,150,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,85,240,14.3584505,52.5085757,22
"BB-A2-23","BB-AA","3",23,200,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,85,245,14.3584505,52.5085757,23
"BB-A2-23","BB-AA","3",24,199.583333333333,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,85,250,14.3584505,52.5085757,24
"BB-A2-23","BB-AA","3",25,299.583333333333,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,70,245,14.3584505,52.5085757,25
"BB-A2-23","BB-AA","3",26,299.166666666667,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,80,245,14.3584505,52.5085757,26
"BB-A2-23","BB-AA","3",27,200,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,80,255,14.3584505,52.5085757,27
"BB-A2-23","BB-AA","3",28,174.166666666667,2023,177.5,35.05,2.71,6.9,0,35.64,1.45,11.87,0,41.2,2.16,19.1,0,81.28,2.73,3,0,100,0,0,0,85,245,14.3584505,52.5085757,28
"BB-A2-23","BB-AA","4",22,150,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,90,260,14.35827678,52.50854294,22
"BB-A2-23","BB-AA","4",23,200,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,90,262.5,14.35827678,52.50854294,23
"BB-A2-23","BB-AA","4",24,199.583333333333,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,90,265,14.35827678,52.50854294,24
"BB-A2-23","BB-AA","4",25,299.583333333333,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,80,265,14.35827678,52.50854294,25
"BB-A2-23","BB-AA","4",26,299.166666666667,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,70,255,14.35827678,52.50854294,26
"BB-A2-23","BB-AA","4",27,200,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,80,245,14.35827678,52.50854294,27
"BB-A2-23","BB-AA","4",28,174.166666666667,2023,185.4,35.31,2.7,6.89,0,36.15,1.45,11.83,0,42.15,2.21,19.2,0,83.14,2.84,3.06,0,100,0,0,0,80,265,14.35827678,52.50854294,28
"BB-A2-23","BB-AA","5",22,150,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,90,255,14.35810672,52.50850982,22
"BB-A2-23","BB-AA","5",23,200,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,90,245,14.35810672,52.50850982,23
"BB-A2-23","BB-AA","5",24,199.583333333333,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,90,235,14.35810672,52.50850982,24
"BB-A2-23","BB-AA","5",25,299.583333333333,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,70,270,14.35810672,52.50850982,25
"BB-A2-23","BB-AA","5",26,299.166666666667,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,80,260,14.35810672,52.50850982,26
"BB-A2-23","BB-AA","5",27,200,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,80,265,14.35810672,52.50850982,27
"BB-A2-23","BB-AA","5",28,174.166666666667,2023,179.5,35.56,2.69,6.89,0,36.66,1.46,11.8,0,43,2.23,19.26,0,84.85,2.93,3.1,0,100,0,0,0,85,260,14.35810672,52.50850982,28
"BB-A2-23","BB-AA","6",22,150,2023,173,35.76,2.71,6.88,0,37.07,1.46,11.76,0,43.75,2.25,19.17,0,86.19,3.01,2.94,0,100,0,0,0,85,255,14.35796727,52.50846842,22
"BB-A2-23","BB-AA","6",23,200,2023,173,35.76,2.71,6.88,0,37.07,1.46,11.76,0,43.75,2.25,19.17,0,86.19,3.01,2.94,0,100,0,0,0,90,247.5,14.35796727,52.50846842,23
"BB-A2-23","BB-AA","6",24,199.583333333333,2023,173,35.76,2.71,6.88,0,37.07,1.46,11.76,0,43.75,2.25,19.17,0,86.19,3.01,2.94,0,100,0,0,0,95,240,14.35796727,52.50846842,24
"BB-A2-23","BB-AA","6",25,299.583333333333,2023,173,35.76,2.71,6.88,0,37.07,1.46,11.76,0,43.75,2.25,19.17,0,86.19,3.01,2.94,0,100,0,0,0,75,255,14.35796727,52.50846842,25
"BB-A2-23","BB-AA","6",26,299.166666666667,2023,173,35.76,2.71,6.88,0,37.07,1.46,11.76,0,43.75,2.25,19.17,0,86.19,3.01,2.94,0,100,0,0,0,60,265,14.35796727,52.50846842,26
